BERDO ID,Tax Parcel ID,Property Owner Name,Building Address,Building Address City,Building Address Zip  Code,Parcel Address,Parcel Address City,Parcel Address Zip Code,Reported Gross Floor Area (Sq Ft),Reported Enclosed Parking Area (Sq Ft),Largest Property Type,All Property Types and GFAs,Site EUI (Energy Use Intensity kBtu/ft²),Energy Star Score,Total Site Energy Usage (kBtu),Natural Gas Usage (kBtu),Natural Gas Emissions (kgCO2e),Electricity Usage (kWh),Electricity Emissions (kgCO2e),Renewable System Electricity Usage Onsite (kBtu),District Hot Water Usage (kBtu),District Hot Water Emissions (kgCO2e),District Chilled Water Usage (kBtu),District Chilled Water Emissions (kgCO2e),District Steam Usage (kBtu),District Steam Emissions (kgCO2e),Fuel Oil 1 Usage (kBtu),Fuel Oil 1 Emissions (kgCO2e),Fuel Oil 2 Usage (kBtu),Fuel Oil 2 Emissions (kgCO2e),Fuel Oil 4 Usage (kBtu),Fuel Oil 4 Emissions (kgCO2e),Fuel Oil 5 and 6 Usage (kBtu),Fuel Oil 5 and 6 Emissions (kgCO2e),Propane Usage (kBtu),Propane Emissions (kgCO2e),Diesel Usage (kBtu),Diesel Emissions (kgCO2e),Kerosene Usage (kBtu),Kerosene Emissions (kgCO2e),Water Usage Intensity (Gallons/ft²),Compliance Status,Estimated Total GHG Emissions (kgCO2e),First Emissions Compliance Year (Projected),Community Choice Electricity Participation,Renewable Energy Purchased through a Power Purchase Agreement (PPA),Renewable Energy Certificate (REC) Purchase,Backup Generator,Battery Storage,Electric Vehicle (EV) Charging,Corresponding Campus ID,Notes
105739,203515600.0,shipways condominium assn,18 shipway pl,boston,2129.0,first av,boston,2129.0,6528.0,,Multifamily Housing,Multifamily Housing (6528.0),21.9,,142706.9,,,41825.0,8579.981,,,,,,,,,,,,,,,,,,,,,,20.97,in compliance,8579.981,2025.0,No,No,No,No,No,No,C10060,
105742,203515600.0,shipways condominium assn,22 shipway pl,boston,2129.0,first av,boston,2129.0,19828.0,,Multifamily Housing,Multifamily Housing (19828.0),21.9,,433455,,,127038.4,26060.657,,,,,,,,,,,,,,,,,,,,,,20.97,in compliance,26060.657,2025.0,No,No,No,No,No,No,C10060,
105747,203515600.0,shipways condominium assn,28 shipway pl,boston,2129.0,first av,boston,2129.0,19828.0,,Multifamily Housing,Multifamily Housing (19828.0),21.9,,433455,,,127038.4,26060.657,,,,,,,,,,,,,,,,,,,,,,20.97,in compliance,26060.657,2025.0,No,No,No,No,No,No,C10060,
105763,1604189002.0,,755-757 gallivan blvd,boston,2124.0,755  757 gallivan bl,boston,2124.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,not submitted,,2030.0,No,No,No,No,No,No,,
105764,1902456000.0,,420 pond st,boston,2130.0,420  414 pond st,boston,2130.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,not submitted,,2025.0,No,No,No,No,No,No,,
105766,1902456000.0,,416 pond st,boston,2130.0,420  414 pond st,boston,2130.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,not submitted,,2025.0,,,,,,,,
105767,1902456000.0,,418 pond st,boston,2130.0,420  414 pond st,boston,2130.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,not submitted,,2025.0,No,No,No,No,No,No,,
105768,300600000.0,,51 blossom st,boston,2114.0,51 blossom st,boston,2114.0,208056.0,0.0,Hospital (General Medical & Surgical),"Hospital (General Medical & Surgical) (208056.0),Parking (61934.0)",247.1,48.0,51417206.9,311185.9,16527.083,5598783.0,1148534.345,,,,,,32002973.0,2124997.407,,,,,,,,,,,,,,,47.69,in compliance,3290058.835,2025.0,No,No,No,No,No,No,,
105769,500063000.0,,263-265 tremont st,boston,2116.0,263  265 tremont st,boston,2116.0,41386.0,,Performing Arts,Performing Arts (41386.0),88.7,,3669425.9,2685429.5,142623.161,288392.8,59160.899,,,,,,,,,,,,,,,,,,,,,,10.36,in compliance,201784.06,2025.0,No,No,No,No,No,No,,
105770,503938000.0,,540-548 commonwealth ave,boston,2215.0,540 commonwealth av,boston,2215.0,32905.0,,Other - Education,"Other - Education (17007.0),Bank Branch (6435.0),Fast Food Restaurant (9463.0)",127.6,,4199393.2,887500.0,47135.125,636431.0,130557.455,,,,,,,,,,1140390.6,84628.386,,,,,,,,,,,16.32,in compliance,262320.966,2025.0,No,No,No,No,No,No,,
105771,2102529000.0,,24-32 sidlaw rd,boston,2135.0,32  24 sidlaw rd,boston,2135.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,not submitted,,2025.0,,,,,,,,
105772,306731010.0,,40 traveler st,boston,2118.0,40 traveler st,boston,2118.0,130000.0,14487.0,Multifamily Housing,"Multifamily Housing (130000.0),Parking (14487.0)",40,71.0,5206447.1,2219590.5,117882.451,875397.6,179579.064,,,,,,,,,,,,,,,,,,,,,,14.1,in compliance,297461.515,2025.0,I`m not sure,No,No,No,I`m not sure,I`m not sure,,
105772,306731010.0,,40 traveler st,boston,2118.0,40 traveler st,boston,2118.0,130000.0,14487.0,Multifamily Housing,"Multifamily Housing (130000.0),Parking (14487.0)",40,71.0,5206447.1,2219590.5,117882.451,875397.6,179579.064,,,,,,,,,,,,,,,,,,,,,,14.1,in compliance,297461.515,2025.0,I`m not sure,No,No,No,I`m not sure,I`m not sure,,
105777,1901393000.0,silver harriet k trst,684-702 centre st,boston,2130.0,702  686 centre st,boston,2130.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,not submitted,,2030.0,,,,,,,,
105778,302303010.0,,21 n bennet st,boston,2113.0,21 n bennet st,boston,2113.0,54425.0,,Multifamily Housing,Multifamily Housing (54425.0),53,68.0,2886331.3,1815400.0,96415.894,313872.0,64387.702,,,,,,,,,,,,,,,,,,,,,,7.69,in compliance,160803.596,2030.0,I'm not sure,No,No,No,I'm not sure,I'm not sure,,
105779,401842000.0,simmons university,300 fenway,boston,2115.0,300 fenway st,boston,2115.0,198500.0,,College/University,College/University (198500.0),Not Available,,Not Available,,,,0.0,,,,,,,,,,,,,,,,,,,,,,6.99,in compliance,,2025.0,No,No,No,No,No,No,C10064,
105780,401842000.0,simmons university,1 palace rd,boston,2115.0,300 fenway st,boston,2115.0,60000.0,,College/University,College/University (60000.0),Not Available,,Not Available,,,,0.0,,,,,,,,,,,,,,,,,,,,,,5.51,in compliance,,2025.0,No,No,No,No,No,No,C10064,
105781,401842000.0,simmons university,2 avenue louis pasteur,boston,2115.0,300 fenway st,boston,2115.0,121000.0,,College/University,College/University (121000.0),Not Available,,Not Available,,,,0.0,,,,,,,,,,,,,,,,,,,,,,11.46,in compliance,,2025.0,No,No,No,No,No,No,C10064,
105782,401842000.0,simmons university,6 avenue louis pasteur,boston,2115.0,300 fenway st,boston,2115.0,103200.0,,College/University,College/University (103200.0),231.2,,23864751.9,0.0,,6994359.0,1434822.805,,,,,,,,,,,,,,,,,,,,,,,in compliance,1434822.805,2025.0,No,No,No,No,No,No,C10064,
105783,401842000.0,simmons university,300r fenway,boston,2115.0,300 fenway st,boston,2115.0,69500.0,,College/University,College/University (69500.0),Not Available,,Not Available,,,,0.0,,,,,,,,,,,,,,,,,,,,,,67.36,in compliance,,2025.0,No,No,No,No,No,No,C10064,
105784,402012000.0,simmons university,321 brookline ave,boston,2215.0,321 brookline av,boston,2215.0,26100.0,,College/University,College/University (26100.0),22.1,,577900.4,,,169372.9,34745.157,,,,,,,,,,,,,,,,,,,,,,40.21,in compliance,34745.157,2025.0,No,No,No,No,No,No,C10043,
105785,402012000.0,simmons university,331 brookline ave,boston,2215.0,321 brookline av,boston,2215.0,53100.0,,College/University,College/University (53100.0),51.9,,2755160.4,119113.7,6326.129,772581.1,158487.287,,,,,,,,,,,,,,,,,,,,,,10.94,in compliance,164813.416,2025.0,No,No,No,No,No,No,C10043,
105786,402012000.0,simmons university,84 pilgrim rd,boston,2215.0,321 brookline av,boston,2215.0,25400.0,,College/University,College/University (25400.0),66.5,,1689506.9,690746.2,36685.531,292720.0,60048.581,,,,,,,,,,,,,,,,,,,,,,90.04,in compliance,96734.112,2025.0,No,No,No,No,No,No,C10043,
105787,402012000.0,simmons university,321r brookline ave,boston,2215.0,321 brookline av,boston,2215.0,7600.0,,College/University,College/University (7600.0),163.8,,1244798.6,,,364829.6,74841.144,,,,,,,,,,,,,,,,,,,,,,,in compliance,74841.144,2025.0,No,No,No,No,No,No,C10043,
105788,402012000.0,simmons university,86 pilgrim rd,boston,2215.0,321 brookline av,boston,2215.0,26000.0,,College/University,College/University (26000.0),22.9,,596250.3,,,174751.0,35848.42,,,,,,,,,,,,,,,,,,,,,,23.32,in compliance,35848.42,2025.0,No,No,No,No,No,No,C10043,
105790,402013000.0,simmons university,78 pilgrim rd,boston,2215.0,62 pilgrim rd,boston,2215.0,22000.0,,College/University,College/University (22000.0),31.4,,689764.4,,,202158.4,41470.774,,,,,,,,,,,,,,,,,,,,,,35.22,in compliance,41470.774,2030.0,No,No,No,No,No,No,C10043,
105791,402015000.0,simmons university,40 pilgrim rd,boston,2215.0,46 pilgrim rd,boston,2215.0,32400.0,,College/University,College/University (32400.0),32.2,,1043860.7,,,305938.1,62760.142,,,,,,,,,,,,,,,,,,,,,,23.45,in compliance,62760.142,2030.0,No,No,No,No,No,No,C10043,
105792,402016000.0,simmons university,30 pilgrim rd,boston,2215.0,38 pilgrim rd,boston,2215.0,22000.0,,College/University,College/University (22000.0),27,,593415,,,173920.0,35677.949,,,,,,,,,,,,,,,,,,,,,,34.33,in compliance,35677.949,2030.0,No,No,No,No,No,No,C10043,
105793,402017000.0,simmons university,255 brookline ave,boston,2215.0,259  275 brookline av,boston,2215.0,34400.0,,College/University,College/University (34400.0),16.7,,574528,,,168384.5,34542.396,,,,,,,,,,,,,,,,,,,,,,38.49,in compliance,34542.396,2025.0,No,No,No,No,No,No,C10043,
105794,402017000.0,simmons university,275 brookline ave,boston,2215.0,259  275 brookline av,boston,2215.0,22000.0,,College/University,College/University (22000.0),16.4,,359924.1,,,105487.7,21639.747,,,,,,,,,,,,,,,,,,,,,,37.4,in compliance,21639.747,2025.0,I'm not sure,No,No,No,I'm not sure,I'm not sure,C10043,
105795,402020000.0,simmons university,291 brookline ave,boston,2215.0,291 brookline av,boston,2215.0,25900.0,,College/University,College/University (25900.0),17,,440830.4,,,129200.0,26504.088,,,,,,,,,,,,,,,,,,,,,,32.61,in compliance,26504.088,2030.0,No,No,No,No,No,No,C10043,
105796,402022000.0,simmons university,305 brookline ave,boston,2215.0,305 brookline av,boston,2215.0,31900.0,,College/University,College/University (31900.0),18.2,,580647.5,,,170178.0,34910.315,,,,,,,,,,,,,,,,,,,,,,42.52,in compliance,34910.315,2030.0,No,No,No,No,No,No,C10043,
105798,106057000.0,sitt eddie trsts,16-30 bennington st,boston,2128.0,16  30 bennington st,boston,2128.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,not submitted,,2030.0,No,No,No,No,No,No,,
105799,700253000.0,,38-48 damrell st,boston,2127.0,48  38 damrell st,boston,2127.0,49906.0,2200.0,Non-Refrigerated Warehouse,"Non-Refrigerated Warehouse (49906.0),Parking (2200.0)",13.5,68.0,672467.6,,,197089.0,40430.837,,,,,,,,,,,,,,,,,,,,,,6.55,in compliance,40430.837,2025.0,I'm not sure,No,No,No,I'm not sure,I'm not sure,,
105800,304695000.0,,6-6b beacon st,boston,2108.0,6 6b beacon st,boston,2108.0,100000.0,,Office,Office (100000.0),49.1,91.0,4912751.7,2917308.3,154938.244,584831.0,119972.231,,,,,,,,,,,,,,,,,,,,,,15.05,in compliance,274910.475,2025.0,I'm not sure,No,No,No,I'm not sure,I'm not sure,,
105801,600032000.0,,6 w broadway,boston,2127.0,6  8 w broadway,boston,2127.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,not submitted,,2025.0,No,No,No,No,No,No,,
105802,603455000.0,six- 55 condominium trust,653-659 e second st,boston,2127.0,653  659 e second st,boston,2127.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,not submitted,,2030.0,,,,,,,,
105803,602077010.0,six-06 e fourth st condo tr,606 e fourth st,boston,2127.0,606 e fourth st,boston,2127.0,20000.0,,Multifamily Housing,Multifamily Housing (20000.0),32.4,,647157.6,346400.0,18397.304,88147.0,18082.476,,,,,,,,,,,,,,,,,,,,,,11.85,in compliance,36479.78,2030.0,No,No,No,No,No,No,,
105804,603614010.0,six-37 east first st condo,637 e first st,boston,2127.0,637 e first st,boston,2127.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,not submitted,,2030.0,,,,,,,,
105805,801066200.0,,650 albany st,boston,2119.0,650 albany st,boston,2119.0,196459.0,,Laboratory,Laboratory (196459.0),289.3,,56839657.5,322.6,17.133,7378247.0,1513573.59,,,,,,31625163.9,1745709.047,,,,,,,,,,,39592.2,2938.137,,,53.0,in compliance,3262237.907,2025.0,No,Yes,No,No,No,No,,
105806,801592000.0,six-91 residences condo tr,691-697r massachusetts ave,boston,2118.0,687  697 massachusetts av,boston,2118.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,not submitted,,2025.0,,,,,,,,
105807,304302010.0,,695 atlantic ave,boston,2111.0,695 atlantic av,boston,2111.0,187000.0,,Office,"Restaurant (1570.0),Office (168830.0),Data Center (0.0),Swimming Pool (0.0),Other (16600.0)",41.4,92.0,7743278.8,1745600.1,92708.821,1757819.0,360598.99,,,,,,,,,,,,,,,,,,,,,,9.16,in compliance,453307.811,2025.0,I'm not sure,No,No,No,I'm not sure,I'm not sure,,
105808,2101917000.0,,1615 commonwealth ave,boston,2135.0,1615 commonwealth av,boston,2135.0,25045.0,,Multifamily Housing,Multifamily Housing (25045.0),76.2,88.0,1907424,71700.0,3807.987,78996.0,16205.239,,,,,,,,,,1566189.7,116226.938,,,,,,,,,,,28.62,in compliance,136240.164,2025.0,I'm not sure,No,No,No,I'm not sure,I'm not sure,,
105809,2101916000.0,sixteen 07 commonwealth,1607 commonwealth ave,boston,2135.0,1607 commonwealth av,boston,2135.0,50000.0,0.0,Multifamily Housing,"Multifamily Housing (50000.0),Parking (3500.0)",33.1,100.0,1655876.4,1629399.9,86537.429,7759.8,1591.845,,,,,,,,,,,,,,,,,,,,,,15.8,pending revisions,88129.274,2025.0,No,No,No,No,No,No,,
105810,1301409000.0,sixteen everett av condo tr,16 everett ave,boston,2125.0,16 everett av,boston,2125.0,14400.0,,Multifamily Housing,Multifamily Housing (14400.0),65.3,,940470.9,718018.7,38133.973,65197.0,13374.513,,,,,,,,,,,,,,,,,,,,,,48.18,in compliance,51508.486,2030.0,No,No,No,No,No,No,,
105811,401446000.0,sixty 3-65 burbank street,63-65 burbank st,boston,2115.0,63  65 burbank st,boston,2115.0,55280.0,,Multifamily Housing,Multifamily Housing (55280.0),7.2,100.0,397034.4,31500.0,1672.965,107132.0,21977.058,,,,,,,,,,,,,,,,,,,,,,25.76,in compliance,23650.023,2025.0,No,No,No,No,No,No,,
